SA1_CODE_2021,Tot_P_P,Median_age_persons,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Year12_Total,High_Income_Total,Families_with_children,latitude,longitude,beach_min_km,beach_avg_km,beachs_within_5km,beachs_within_10km,park_min_km,park_avg_km,parks_within_5km,parks_within_10km,school_min_km,school_avg_km,schools_within_5km,schools_within_10km,hospital_min_km,hospital_avg_km,hospitals_within_5km,hospitals_within_10km,beach_score,park_score,school_score,hospital_score,education_score,income_score,age_score,lifestyle_premium_index,school_demand_index,lifestyle_preference_index,value_score
50402104912,1840,36,0,0,0,0,548.0,0,0,-35.9105,112.9645,221.41073729694824,291.3899342678194,0,0,227.8091124101879,341.9809134917833,0,0,299.75395714046385,335.6503472024725,0,0,328.0108428516433,342.1940568244421,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.9103839103891423,14.551919551945714,60.0,47.31151731167427,14.551919551945714
31001127608,1343,33,0,0,0,0,420.0,0,0,-31.1998,149.15210000000002,466.5682022652889,470.6198074851465,0,0,141.12889372780822,185.26054339077263,0,0,68.13362911066613,105.15507845544573,0,0,184.15830389704303,236.5060223484537,0,0,0.0,0.0,0.0,0.0,0.8519269776876268,0.0,0.8182760289835492,12.610649921794014,51.115618661257614,41.58682042325901,12.610649921794014
31905152414,694,34,0,0,0,0,158.0,0,0,-30.9498,153.1771,32.416220101391716,37.733678832651385,0,0,107.07312175694666,163.6124261250696,0,0,105.15164360366154,176.41467618853383,0,0,103.32010618872903,194.9992388954441,0,0,0.2453264233469723,0.0,0.0,0.0,0.3204868154158215,0.0,0.8516705072294409,12.369749157244867,19.22920892494929,31.95985152519966,12.369749157244867
19999949999,11371,0,0,0,0,0,3276.0,654,0,-29.378800000000002,156.15830000000003,303.98071295849104,305.8674487697278,0,0,300.5524700475537,322.5379063850073,0,0,281.66840046498965,308.45805231715644,0,0,328.5116744839556,329.0822310106634,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.018063013419781275,10.090315067098906,60.0,20.54189040259344,10.090315067098906
29999949999,9089,0,0,0,0,0,2436.0,362,0,-33.3236,149.9121,388.9721577060611,392.1535848922735,0,0,61.168519702163664,67.49873851088502,0,0,43.28302877487904,61.37029516258326,0,0,60.676023620585575,72.47288945787558,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.018063013419781275,10.090315067098906,60.0,20.54189040259344,10.090315067098906
39999949999,14670,0,0,0,0,0,4396.0,751,0,-22.9798,157.97410000000002,549.7010735346296,551.1442388463757,0,0,511.86250706516125,559.9125853655228,0,0,506.41366097221044,558.492539316412,0,0,554.6839108824736,605.4105641030205,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.018063013419781275,10.090315067098906,60.0,20.54189040259344,10.090315067098906
49999949999,3377,0,0,0,0,0,849.0,191,0,-30.4385,143.5497,705.5771950517021,770.4340509667312,0,0,51.80248985884919,137.56948556167376,0,0,74.97671475011853,106.4498083843979,0,0,42.54579825873781,86.0411267357935,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.018063013419781275,10.090315067098906,60.0,20.54189040259344,10.090315067098906
59999949999,8055,0,0,0,0,0,1994.0,573,0,-27.460500000000003,120.8095,599.1761569177187,646.2424414413648,0,0,20.20627844768139,104.38298510897587,0,0,65.93194695473005,137.9365352919837,0,0,298.31627007275176,301.99167275432023,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.018063013419781275,10.090315067098906,60.0,20.54189040259344,10.090315067098906
79999949999,3500,0,0,0,0,0,741.0,199,0,-7.973400000000001,135.7946,1938.460349632451,1950.0187214927616,0,0,268.06946507194,346.6374420792626,0,0,263.9694891504284,270.77472640809043,0,0,469.99864679843506,510.0643022280023,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.018063013419781275,10.090315067098906,60.0,20.54189040259344,10.090315067098906
50604113335,1175,34,0,0,0,0,261.0,0,0,-35.8205,114.9735,95.00136146848467,151.91364272041483,0,0,14.800554437997878,134.04852044229702,0,0,76.25060844546461,140.23619945766723,0,0,216.65283779480106,229.47679577769753,0,0,0.0,0.0,0.0,0.0,0.5294117647058824,0.0,0.8516705072294409,9.55247018320603,31.76470588235294,36.13835051100088,9.55247018320603
