SA1_CODE_2021,state,rank_2021,acceleration_score,risk_2016,risk_2021,risk_pct_change,income_pct_change,edu_pct_change,young_prof_pct_change
20604150614,VIC,9,92.43264607739137,75.36443130959755,97.90740087429828,29.911948080778416,34.538692006624515,23.13710793826653,23.49631330444344
20504109412,VIC,127,92.38153060988202,68.19390291582212,88.6956606264065,30.063916030574656,34.509068236831595,23.109994657439103,23.441934544984157
20101100505,VIC,172,92.38109997051617,66.34859054895547,86.39276852096951,30.21040508347257,34.49776931789928,23.099653274009512,23.4211968824785
11001118601,NSW,194,92.09384229948719,66.31153689312255,85.5080825908299,28.949028475463233,34.492245056499904,23.094597170355847,23.41105846969793
11303126808,NSW,188,91.87356738438643,67.0275014274072,85.73240480898049,27.90631156351735,34.493751695748266,23.095976128311978,23.41382349136536
11703164015,NSW,6,91.8183246329732,77.12229217406768,97.9832942290343,27.049250569319973,34.539445068289766,23.137797181146567,23.49769581527714
80105105308,ACT,52,91.79488321392998,73.70258616845737,93.67021104459609,27.09216313047682,34.527897659519866,23.127228366340226,23.476497315826926
80101100308,ACT,51,91.74805262575171,73.86857499739604,93.71808844014052,26.87139076859706,34.52814870068486,23.127458132830235,23.476958152771488
12602150024,NSW,17,91.69521087873602,76.46702420990745,96.74135676319833,26.513824439717148,34.536683821576105,23.1352699383917,23.49262660888687
31601141630,QLD,119,91.6466968098603,70.43791951900455,89.19207270194629,26.625081079917123,34.511076834167255,23.11183303466158,23.445621240540703
11802156418,NSW,37,91.54879532818799,75.12303814294238,94.57981758494203,25.899883608245112,34.531663227807385,23.13067481867117,23.483409869995462
12602150022,NSW,55,91.54672888739168,74.19385962198857,93.44692642105166,25.949676829263012,34.52714453321406,23.126539064297646,23.475114804993204
40101100153,SA,21,91.4898160453088,76.26299553294002,95.765887422244,25.57320460993453,34.53567971781104,23.134350928166047,23.490783261108604
40101100156,SA,14,91.48696122111271,77.28021052021948,97.01514357652482,25.536852091185636,34.537436894481985,23.13595919155982,23.494009119720594
21205156702,VIC,57,91.4012910393979,74.58691928770187,93.44315495562849,25.280888187904658,34.526642446667836,23.12607952745871,23.47419313110406
10301161219,NSW,290,91.20610534756123,65.39919912411351,81.84274297166003,25.143341306581203,34.46813653270466,23.072531741797487,23.366818123019193
30304107008,QLD,174,91.15741878787868,69.34401543822084,86.3571859524912,24.534446710008528,34.49726712169357,23.099193636804305,23.42027520858936
11703164611,NSW,15,91.0707927258252,78.45605987781599,96.97760468277946,23.607538836143572,34.53718587064842,23.135729440932472,23.49354828277599
30501111030,QLD,20,90.9217458390917,78.12814201694869,96.04440016473386,22.9318881586849,34.53593074445489,23.13458068136549,23.491244098053166
20902120526,VIC,205,90.86873897917333,68.80767947450771,84.83723027847724,23.29616537919761,34.489482840707694,23.092069040647733,23.40598926330766
80105105307,ACT,106,90.7963684075979,73.3071535870103,89.8990635645764,22.633411837321837,34.514340740868654,23.114820339100127,23.45161212082012
31601141623,QLD,175,90.62081234728576,70.75653246803277,86.35540550883408,22.04584155936238,34.49701602288753,23.098963817558094,23.419814371644797
20703116526,VIC,89,90.51940207800448,74.64606362292959,90.53905893917644,21.29113652466583,34.51860880706097,23.11872670476769,23.459446348877822
30503112619,QLD,75,90.30791430426288,76.20632544737899,91.64788472873369,20.262831452248943,34.52212358342288,23.121943618726036,23.465898066101797
50301103524,WA,133,90.17837375047112,73.75433154615399,88.39651721975295,19.85264508083322,34.507561769146086,23.10861585650661,23.43916952331673
80105104901,ACT,216,89.88343126118374,70.96816160702699,84.27956803221474,18.75687086118589,34.48672056818249,23.08954085901449,23.400920056917407
12602150046,NSW,45,89.74723392261507,79.89820449720948,93.92844716471204,17.560147635098076,34.529654937837215,23.128836722766287,23.479723174438917
40303106604,SA,187,89.63532766043342,72.97278639970475,85.74960909525065,17.50902401555767,34.49400280064878,23.096205953136195,23.414284328309943
30908155908,QLD,40,89.62253161241749,80.67870924499756,94.3654934577446,16.96455525978273,34.53091012258183,23.12998553592236,23.48202735916174
50607114608,WA,120,89.4830891137703,76.39777386448706,89.06526655007227,16.580970943020624,34.510825761140595,23.111603239010048,23.445160403596145
