Suburb_Name,SAL_CODE_2021,Value_Score,Undervalued_Score,Quality_Index,Price_Index,Education_Index,Employment_Index,Demographics_Index,Density_Index,Tertiary_Pct,Median_tot_prsnl_inc_weekly,Median_age_persons,Average_household_size,Density_per_sqkm,Total_Population,Median_mortgage_repay_monthly,Median_rent_weekly,Mortgage_to_Income_Ratio,Median_tot_hhd_inc_weekly
Appin (NSW),SAL10064,12476.904766236681,71.15516062884484,4687.410230120757,36.56869446343131,26.93096377306904,7576.896787423102,9619.04761904762,10.0,22.055674518201286,971,33,3.2,31.483023859683502,3213,2500,450,0.5941535292719639,2423
Arcadia (NSW),SAL10073,34060.504180325785,35.68010936431989,4580.707108680793,12.448735475051265,68.0792891319207,6862.611073137388,10000.0,10.0,42.568370986920335,920,46,3.2,65.82235550319517,1475,3300,485,0.8277591973244147,2659
Arcadia Vale,SAL10074,5066.899236428845,64.5933014354067,3728.7598939961636,72.59056732740943,22.898154477101844,4032.809295967191,10000.0,80.31772575250837,20.29569892473118,748,45,2.5,1063.5451505016722,1431,1684,385,0.5195392842451666,1550
Argenton,SAL10079,3895.2548728666434,29.801777170198225,2966.0515411126485,75.14524948735475,3.0758714969241283,1869.4463431305535,9571.428571428572,76.2515591150791,11.627906976744185,616,40,2.3,887.546773452373,1352,1517,350,0.5683066933066933,1318
Arncliffe,SAL10087,12142.163312873536,46.206425153793575,4274.282171528665,34.20198222829802,78.60560492139439,5946.684894053315,9809.52380952381,95.42712970199463,50.089552238805965,856,34,2.7,4085.4259403989263,12023,2319,500,0.6251797268152408,2046
Arrawarra,SAL10089,1783.6204974950028,9.979494190020507,1775.8544943719387,98.56459330143541,2.3923444976076556,533.1510594668489,6428.571428571429,53.657440264963334,10.273972602739725,506,66,1.9,209.72320794889993,591,659,200,0.3005472788081484,718
Arrawarra Headland,SAL10090,4607.189224827882,46.274777853725226,3377.8601354935954,72.31715652768284,55.57074504442926,2843.4723171565283,10000.0,54.314778888723076,35.588235294117645,678,47,2.7,229.44336666169227,615,1625,373,0.5530973451327433,1605
Artarmon,SAL10091,15865.713727581166,91.72932330827066,5282.751283743414,32.29665071770336,97.1291866028708,9131.920710868077,10000.0,93.57543001420231,71.48371936891574,1202,37,2.5,3715.0860028404604,9417,2772,525,0.53218993984385,2420
Ashbury,SAL10094,27959.109436388495,33.15105946684894,4469.6353485868385,14.986329460013678,80.99794941900204,6438.824333561176,10000.0,91.2577579519007,52.44318181818181,892,44,2.9,3251.55159038014,3353,2817,600,0.7287857882028286,2571
Ashcroft,SAL10098,4473.587287610329,3.7593984962406015,2411.8689959255535,52.91353383458646,10.594668489405331,126.45249487354751,9428.57142857143,90.74659849207038,15.479331574318381,458,32,3.1,3149.319698414074,3634,1950,295,0.982532751091703,1089
Ashfield (NSW),SAL10099,9694.676113877878,62.33766233766234,4355.348153948602,43.92515379357484,88.79015721120984,6408.065618591935,9571.428571428572,89.56185567010309,61.34094151212553,890,36,2.3,6739.690721649485,23012,2210,440,0.5730337078651686,1888
Ashford (NSW),SAL10100,2250.8814283659676,22.48803827751196,2246.4658236500345,98.80382775119617,1.1619958988380041,160.62884483937117,8785.714285714286,10.0,8.076923076923077,461,54,2.2,0.9676273586283949,659,658,185,0.3293842816619389,855
Ashmont,SAL10102,2956.363526580442,41.07997265892003,2785.872487115239,93.23308270676692,4.169514695830485,1264.5249487354752,9571.428571428572,82.71336819136235,12.208504801097392,577,36,2.3,1542.673638272469,3747,1103,220,0.44114118117584317,994
Ashtonfield,SAL10103,7160.052186399612,86.19275461380724,4452.4219253848105,61.18421052631578,48.39371155160629,6425.153793574846,10000.0,69.05115897916178,31.590607000443065,891,39,2.8,671.5347693748537,4589,1950,440,0.5050505050505051,2148
Asquith,SAL10104,11851.128550478286,89.54203691045797,5007.203069656284,41.25085440874915,89.20027341079972,8226.24743677375,10000.0,83.79171067279422,61.86071817192601,1041,36,2.7,1758.3421345588447,6160,2400,490,0.5320328086898692,2300
Attunga,SAL10106,4091.9495098458037,86.73957621326042,3764.719412166781,91.00307587149692,20.71086807928913,4190.020505809979,10000.0,10.0,19.246861924686193,757,43,2.5,2.478039404484154,542,1284,300,0.39142363580936895,1428
Auburn (NSW),SAL10107,6226.626143014513,4.716336295283663,2736.6724149617544,42.95112781954887,72.72727272727273,1302.1189336978812,9238.095238095239,97.96495673599028,45.23712540005819,580,31,3.3,4592.991347198056,39333,2000,410,0.7957559681697612,1533
Austinmer,SAL10109,17774.28908259503,80.7928913192071,5101.208817498291,27.699931647300062,89.7470950102529,8544.087491455914,10000.0,73.72294372294373,62.42603550295858,1080,42,2.8,811.6883116883116,2725,2726,550,0.5824786324786325,2586
Austral,SAL10110,14868.447344236432,47.57347915242652,4428.57161482416,28.785030758714967,68.55775803144223,6965.14012303486,9238.095238095239,59.5896065363992,42.71935283136279,930,31,3.1,387.6881960919761,6847,2535,520,0.6290322580645161,2168
Avalon Beach,SAL10112,54426.770068187645,46.001367053998635,4887.620677757004,7.980177717019828,76.1449077238551,7840.054682159945,10000.0,85.07200527909323,48.5547201336675,995,46,2.8,2014.4010558186476,10379,3250,700,0.7537688442211055,2481
Avoca Beach,SAL10115,15383.473443161927,56.32262474367737,4616.146109989955,29.007177033492837,72.45386192754614,6941.216678058784,10000.0,80.29965329370975,45.11823035850496,927,43,2.8,1059.9306587419514,4708,2508,530,0.6243465272591486,2358
Avondale (NSW),SAL10117,5351.653121297872,45.59125085440875,3535.4747095010252,65.06322624743677,26.38414217361586,3598.76965140123,9785.714285714286,10.0,21.8335343787696,725,40,2.4,92.55770522418624,1695,1903,300,0.6057294429708223,1524
Balaclava (NSW),SAL10144,8035.919484638851,63.1578947368421,4195.815567960304,51.21326042378674,34.107997265892,5591.25085440875,10000.0,54.719416386083054,24.834437086092713,840,40,2.9,241.5824915824916,574,2000,500,0.5494505494505495,2023
Balcolyn,SAL10146,5189.307987265746,45.18113465481887,3496.5046445571743,66.379015721121,30.62200956937799,3250.170881749829,10000.0,81.77851440941686,23.404255319148938,704,43,2.5,1355.7028818833717,1002,1733,390,0.5680725524475525,1525
Balgowlah,SAL10154,27616.59305406302,81.13465481886534,5335.118041606173,18.318523581681475,89.54203691045797,9313.055365686943,10000.0,95.59213884635018,62.221764220939825,1264,41,2.5,4118.427769270035,8068,3250,640,0.5933544303797469,2681
Balgowlah Heights,SAL10155,217503.99957219255,63.499658236500345,5371.441903310523,1.46958304853041,96.03554340396445,9432.672590567327,10000.0,85.5297541275686,69.89949748743719,1333,43,3.3,2105.950825513719,3546,4878,1320,0.8444803508569451,4687
Balgownie,SAL10156,12117.272706640828,34.92822966507177,4090.5527302500154,32.75803144224197,69.10457963089543,5191.387559808612,10000.0,82.70058945441822,43.15068493150685,812,42,2.6,1540.1178908836432,5722,2383,450,0.677245168624479,1912
Balmain,SAL10165,29543.070436270238,79.35748462064251,5326.13297533729,17.02836637047163,96.1038961038961,9815.447710184553,9357.142857142859,89.21186110027313,70.06425233644859,1577,42,2.2,6798.02314995448,10454,3986,625,0.5832886200673137,3039
Balmain East,SAL10166,44259.863500145824,72.86397812713602,5313.301316835688,11.004784688995215,97.40259740259741,9767.6008202324,9357.142857142859,96.76384839650146,71.73414820473644,1550,46,2.2,5539.35860058309,1900,4333,617,0.6451116625310174,3020
Balranald,SAL10169,3336.5097759758683,73.88926862611072,3296.3257006151744,97.79562542720437,9.295967190704033,2997.265892002734,9571.428571428572,10.0,14.897959183673471,687,47,2.3,0.23829892693993202,1240,893,200,0.2999664091367148,1197
Bangalee (NSW),SAL10174,9323.16420873726,58.85167464114832,4282.4422174248,44.933356117566646,47.98359535201641,5868.0792891319215,10000.0,50.82234719745579,31.50984682713348,851,46,2.9,124.67041592367366,818,2167,450,0.5876344571996747,2181
Bangalow,SAL10175,11496.134303869441,68.28434723171564,4587.099029771227,38.901230348598766,69.17293233082707,6862.611073137388,10000.0,50.42552087174822,43.17602040816326,920,40,2.7,112.76562615244667,2752,2170,650,0.544314381270903,2097
Bangor (NSW),SAL10178,26720.59536961977,48.05194805194805,4721.399525648366,16.669514695830486,63.56801093643198,7300.068352699933,10000.0,82.05744371637643,40.18785642401879,949,43,2.9,1411.4887432752862,5536,2800,650,0.6808786576963606,2626
Banksia,SAL10179,15236.293660876167,17.634996582365005,3833.859730265444,24.162679425837325,73.4107997265892,4326.725905673274,10000.0,92.12479096989966,45.8125,763,41,2.8,3424.958193979933,3277,2500,500,0.7561246093356184,2018
Banksmeadow,SAL10180,17364.144522742397,76.82843472317157,5010.202547768453,27.853725222146267,71.77033492822966,9480.51948051948,8547.619047619048,50.73894152918731,44.81792717086835,1353,33,2.0,122.16824587561926,508,3000,620,0.5116834385127068,2225
Bankstown,SAL10181,5300.595987244116,7.177033492822966,2745.422496455342,50.7946001367054,70.47163362952837,857.8263841421735,9809.52380952381,97.01425828585816,44.018981084821725,542,34,2.9,5497.623619023639,34933,1800,400,0.7663922793074085,1331
Banora Point,SAL10186,6129.741662399998,12.918660287081341,3080.603695138695,49.25666438824334,31.647300068352703,2040.3280929596717,9785.714285714286,83.88337201144152,23.79453606949515,629,49,2.4,1776.674402288305,16460,1871,440,0.68643756879051,1268
Bar Beach,SAL10188,11680.824158625883,95.35201640464798,5164.792571245325,43.215994531784006,87.90157211209842,9107.997265892003,9571.428571428572,87.77184657967575,60.388821385176186,1196,41,2.3,2554.369315935152,1292,2700,393,0.5209673269873939,2300
Baradine,SAL10191,2522.0902540095126,35.611756664388245,2533.5198222829804,99.45317840054683,13.602187286397813,628.8448393711552,9357.142857142859,10.0,16.40378548895899,519,50,2.2,0.6525943542670545,783,650,157,0.28901734104046245,1034
Barden Ridge,SAL10194,19375.044451514455,72.18045112781954,4981.2272519126,24.709501025290507,60.150375939849624,8174.982911825016,10000.0,71.24843722093232,38.36363636363636,1033,41,3.3,737.4531166279693,4129,2641,685,0.5899918087720605,3134
Bardia,SAL10195,16147.302781438231,56.117566643882434,4639.783419863978,27.73410799726588,86.32946001367054,7795.625427204375,9047.619047619048,88.61461195868473,58.33937635968093,990,30,3.5,2722.9223917369472,5747,2600,550,0.6060606060606061,2417
Bardwell Park,SAL10196,23733.512020328715,42.720437457279566,4572.797244217538,18.26725905673274,81.74982911825018,6784.005468215994,10000.0,87.13770011509888,53.182917002417405,916,42,2.8,2427.540023019776,2320,2800,550,0.705408128988915,2386
Bardwell Valley,SAL10197,19636.152848510254,18.72863978127136,3988.031507777068,19.309637730690355,73.88926862611072,4839.371155160628,10000.0,93.68920427364057,46.17437722419929,793,42,2.9,3737.8408547281138,2344,2600,550,0.7566204287515763,2099
Bargo,SAL10199,8636.030141900766,27.13602187286398,3685.69002050581,41.67805878332194,20.437457279562544,3926.8626110731375,10000.0,10.0,19.17808219178082,742,41,2.8,91.99485839188262,4516,2167,410,0.6739581173543437,1736
Barham,SAL10200,2510.554397332616,21.872863978127135,2362.340738209159,93.09637730690362,16.883116883116884,1185.9193438140805,8000.0,10.0,17.95252225519288,571,58,2.1,3.318505458507895,1569,1148,185,0.4639633571332345,995
Barnsley,SAL10205,5299.3757593568525,78.81066302118934,3971.3804477400313,73.94053315105947,2.939166097060834,4870.12987012987,10000.0,63.06491247967941,11.344019728729963,794,39,2.7,491.9473743903822,1735,1733,360,0.5036814570819609,1784
Barooga,SAL10206,3841.8056183746926,71.01845522898155,3454.4870129870133,88.91831852358169,23.85509227614491,3509.911141490089,9571.428571428572,10.0,20.705882352941178,719,46,2.3,19.241450650469062,1888,1387,260,0.4451695731250669,1375
Barraba,SAL10207,1982.5515105265524,13.602187286397813,1962.231373889269,97.97505126452495,10.936431989063568,215.31100478468898,7571.4285714285725,10.0,15.601503759398497,470,58,1.9,2.5384875007664167,1329,758,195,0.37217675941080197,776
Barrack Heights,SAL10208,5575.487577085473,16.473000683527,3085.0205544009405,54.33185235816815,12.987012987012985,1893.36978810663,10000.0,87.42342715231788,16.288024643819792,618,41,2.5,2484.6854304635763,6003,1863,380,0.6956684092606422,1340
Barrack Point,SAL10209,16881.297107280865,18.796992481203006,3920.3725896679493,22.22317156527683,41.49008885850991,4651.401230348599,10000.0,83.3679593721145,28.249999999999996,783,48,2.6,1673.5918744228995,725,2600,480,0.7662835249042146,1836
Basin View,SAL10223,4071.472093775007,30.553656869446343,3028.223465071359,73.37662337662337,12.030075187969924,1900.205058099795,9785.714285714286,54.16235770971836,15.943877551020408,620,48,2.4,224.87073129155064,1583,1532,360,0.5702233250620348,1244
Bass Hill,SAL10224,9892.554457848983,1.0936431989063569,2720.8243764519984,26.503759398496243,42.10526315789473,806.5618591934381,9809.52380952381,92.28858243763942,28.509992410827216,534,34,3.3,3457.7164875278845,10230,2383,450,1.029818496110631,1411
Bateau Bay,SAL10227,7357.4860843303195,28.708133971291865,3578.1873796523882,47.63328776486671,42.03691045796309,3509.911141490089,10000.0,84.01976045315,28.49288486416559,719,42,2.5,1803.9520906299995,12516,2058,400,0.6605327912699263,1475
Batehaven,SAL10228,3064.5254575484996,20.027341079972658,2556.050931101056,82.40772385509229,26.5892002734108,1493.5064935064934,8357.142857142859,71.57672454246833,21.894736842105264,595,54,2.0,747.3017362740497,1911,1365,320,0.5294117647058824,1128
Batlow,SAL10232,2854.068625258472,49.487354750512644,2835.0577580314425,98.3339029391661,17.361585782638414,1630.211893369788,9357.142857142859,10.0,18.181818181818183,602,49,2.2,7.604776757886063,1270,867,180,0.3323536928188091,1064
Baulkham Hills,SAL10233,16660.60320789154,67.39576213260425,4821.439635103979,27.939166097060834,86.1244019138756,7607.655502392345,10000.0,88.70442541408133,58.26870273134544,973,39,3.0,2740.885082816266,37415,2600,520,0.6166495375128469,2474
Bawley Point,SAL10235,4246.537749414012,22.07792207792208,2947.2655502392345,68.40396445659604,59.87696514012304,2676.0082023239916,8500.0,10.0,38.21782178217822,666,56,2.2,41.19846530835392,844,1733,325,0.6004851004851005,1240
Bayview (NSW),SAL10237,109103.66140545641,9.227614490772385,3999.473247556135,2.6657552973342433,71.56527682843472,6196.172248803828,8428.57142857143,80.06088482399234,44.5518453427065,876,58,2.3,1012.1769647984686,3807,3691,850,0.9723393045310853,1885
Beacon Hill,SAL10238,57569.99235275524,43.882433356117566,4850.163641448289,7.424812030075188,76.0082023239918,7713.602187286398,10000.0,88.53683043448132,48.47182425978988,982,41,3.2,2707.3660868962647,7814,3250,730,0.7637474541751528,2937
Beaconsfield (NSW),SAL10239,16981.764786411608,90.36226930963774,5290.173759556407,30.15208475734792,96.58236500341764,9658.236500341765,9404.761904761906,83.58415841584159,70.75949367088607,1462,33,2.4,7735.973597359736,1172,2990,650,0.47195622435020523,3061
Beaumont Hills,SAL10243,30796.456813202563,62.1326042378674,5020.580268101764,15.302460697197546,86.67122351332878,8270.676691729323,10000.0,89.172623526461,58.93942569691889,1046,38,3.5,2834.5247052921995,9041,3000,650,0.6618620385350786,3308
Beechwood,SAL10248,6177.809911688064,35.26999316473001,3540.754955570745,56.31408065618592,15.789473684210526,3448.3937115516064,10000.0,10.0,17.47787610619469,715,37,2.8,92.15846416003711,914,1955,368,0.6309844002151694,1516
Beecroft,SAL10249,43045.89210507959,59.80861244019139,5094.009091013274,10.83390293916608,94.25837320574163,8509.911141490089,10000.0,85.05491069683823,68.07045636509207,1076,43,3.0,2010.9821393676477,10291,3350,590,0.7184729768372891,2962
Belfield,SAL10257,13230.733293036757,6.903622693096377,3359.729030778961,24.393369788106625,64.4565960355434,2754.6138072453864,10000.0,93.3860652978795,40.54600606673407,672,40,2.9,3677.2130595759004,6555,2500,460,0.8585164835164835,1727
Belimbla Park,SAL10261,12997.739302901624,25.01708817498291,3942.4550952557124,29.331852358168135,18.045112781954884,4764.183185235816,10000.0,51.91070566920675,18.345323741007196,789,39,3.3,157.32117007620243,576,2392,480,0.6996197718631179,2213
Bella Vista,SAL10263,56162.43526367687,56.25427204374572,5105.867875765779,8.091250854408742,93.02802460697197,8550.922761449077,10000.0,84.55093299309654,67.0073589533933,1081,40,3.4,1910.186598619307,8384,3400,740,0.7258236675442966,3518
Bellambi,SAL10264,5057.532527652962,14.695830485304171,2955.285992645225,57.433356117566646,35.26999316473001,1797.676008202324,9571.428571428572,83.63366251977256,25.46106557377049,611,38,2.3,1726.7325039545124,4039,1950,252,0.7364975450081833,1183
Bellbird,SAL10268,4187.07223022544,37.59398496240601,3157.490344058351,74.41045796308954,1.367053998632946,2320.574162679425,9809.52380952381,56.84684449321176,8.195020746887966,643,34,2.7,305.4053347963529,2338,1600,323,0.5742313673884436,1427
Bellbird Heights,SAL10269,4465.547705251124,53.041695146958304,3443.79803567198,76.11927546138072,17.361585782638414,3086.1244019138758,10000.0,85.01492908683753,18.181818181818183,694,40,2.6,2002.9858173675045,805,1580,368,0.5253823985812458,1487
Bellevue Hill,SAL10271,29335.460950248642,86.67122351332878,5484.207277647134,17.6948051948052,96.92412850307586,9801.777170198222,10000.0,97.31258691163457,71.1572700296736,1575,39,2.5,4462.517382326914,10590,3900,650,0.5714285714285714,3315
Bellingen,SAL10273,4108.912626990545,42.652084757347914,3195.795967190704,76.77717019822282,62.95283663704716,2429.9384825700613,9785.714285714286,10.0,39.906103286384976,651,44,2.4,87.89441020229381,3923,1477,390,0.5235732009925558,1268
Belmont (NSW),SAL10276,6279.196874070303,20.847573479152427,3301.1064195172194,51.57211209842788,40.66985645933015,3130.553656869447,9357.142857142859,69.69100821914347,27.85011958543715,697,48,2.2,690.7302465743039,7289,2058,340,0.6813817459441562,1280
Belmont North,SAL10277,6384.076790447098,46.54818865345181,3733.157631313359,57.47607655502392,35.88516746411483,4032.809295967191,10000.0,83.66194855978411,25.70138664946791,748,40,2.6,1732.389711956821,6291,1955,380,0.6031468531468531,1739
Belmont South,SAL10278,4823.02675209125,23.991797676008204,3105.8907682486197,63.397129186602875,25.97402597402597,2320.574162679425,9571.428571428572,60.461125302940985,21.58859470468432,643,48,2.3,413.8337590882295,1053,1835,273,0.6585715994736212,1239
Belmore,SAL10279,7310.190973584599,12.371838687628161,3210.4130222029894,42.916951469583054,62.54272043745728,2255.6390977443607,10000.0,99.72317832295862,39.67820279295689,640,38,2.6,5046.136946173563,13781,2156,380,0.7774038461538461,1456
Belrose,SAL10283,84042.96593037015,24.196855775803144,4502.588974451404,4.357484620642509,75.93984962406014,6565.276828434723,10000.0,68.15980689179537,48.45273420941077,903,46,2.9,644.794206753861,8726,3441,890,0.8793764375159724,2598
Bemboka,SAL10284,2881.1436697533845,32.12576896787423,2651.9716336295287,91.04579630895421,21.394395078605605,837.3205741626795,9571.428571428572,10.0,19.58041958041958,538,50,2.3,1.7615311503904976,589,1138,245,0.48813268515870745,1015
Bensville,SAL10297,9599.04378758418,45.317840054682165,4082.7429884095654,41.5328092959672,52.63157894736842,5191.387559808612,10000.0,63.58164521847387,33.95061728395062,812,42,2.9,507.4493565542159,2500,2167,463,0.6158582796513832,2176
Berala,SAL10299,6264.403560129217,9.637730690362268,2983.4275478727495,46.62508544087492,70.12987012987013,1493.5064935064934,10000.0,95.57759187893599,43.69994660971703,595,37,3.0,4115.518375787197,8757,2000,380,0.7756948933419521,1552
Beresfield,SAL10301,3919.2136276310152,46.958304853041696,3197.936339065388,80.59637730690362,13.19207108680793,2638.414217361586,9571.428571428572,63.982064491509256,16.323529411764707,664,39,2.3,519.4619347452776,3267,1484,350,0.515755329008341,1257
Berkeley,SAL10303,4437.122028778142,16.131237183868762,2860.791209333647,63.47402597402598,24.401913875598087,1138.0724538619274,10000.0,80.32599341593017,20.911610717585464,568,40,2.5,1065.198683186034,7798,1733,290,0.7040899241603467,1217
Berkeley Vale,SAL10304,6779.998825880292,57.00615174299385,3956.5672574090427,57.35645933014354,29.391660970608342,4784.688995215311,10000.0,82.2870703551134,23.01110083256244,790,36,2.7,1457.414071022681,8951,1950,420,0.5696202531645569,1791
Berkshire Park,SAL10305,14522.008082946484,15.652768284347232,3753.3881861958675,24.846206425153795,0.3417634996582365,4152.426520847574,10000.0,50.384672611323914,3.248862897985705,756,37,3.2,111.54017833971744,2149,2571,450,0.7847985347985348,2036
Bermagui,SAL10307,3238.59297859457,14.354066985645932,2504.2204374572793,76.32433356117566,45.522898154477105,1630.211893369788,8000.0,10.0,30.064754856614247,602,58,2.1,42.142606966523175,1865,1517,310,0.5815231280347559,1022
Berowra,SAL10308,20115.88018201662,64.86671223513328,4893.2600404484465,23.32535885167465,77.23855092276145,7867.3957621326035,10000.0,65.79831021224794,49.18578830495929,998,41,3.0,573.9493063674383,4762,2700,580,0.6243255742253738,2781
Berowra Heights,SAL10309,15213.536853701326,70.81339712918661,4821.224942912882,30.690362269309645,74.91455912508545,7628.161312371839,10000.0,68.68120975869795,46.97849095254353,974,42,2.9,660.4362927609385,5286,2500,580,0.592323487600695,2468
Berridale,SAL10315,3949.415611829972,82.50170881749828,3644.719412166781,91.28503075871497,35.95352016404648,4131.9207108680785,9571.428571428572,10.0,25.774647887323944,755,45,2.3,5.565599798268414,1300,1300,270,0.3973509933774835,1455
Berrigan,SAL10317,2617.7964575410597,36.50034176349966,2583.137047163363,97.676008202324,12.098427887901572,1390.9774436090224,8642.857142857143,10.0,15.946843853820598,586,55,2.2,1.7555265406030096,1264,933,173,0.36741927014964554,980
Berrima,SAL10319,10608.986503814838,68.3526999316473,4524.0837320574165,41.64388243335611,59.33014354066985,6920.71086807929,9714.285714285716,10.0,37.84313725490196,925,52,2.5,14.93749402867705,813,2243,490,0.5595841995841996,2100
